song,performer,chart_instances,time_on_chart,peak_position,worst_position,lyrics,metadata
Bad Boy/Having A Party,Luther Vandross,"[{""chart_position"": 90, ""chart_date"": ""1982-10-30""}, {""chart_position"": 81, ""chart_date"": ""1982-11-06""}, {""chart_position"": 70, ""chart_date"": ""1982-11-13""}, {""chart_position"": 60, ""chart_date"": ""1982-11-20""}, {""chart_position"": 57, ""chart_date"": ""1982-11-27""}, {""chart_position"": 55, ""chart_date"": ""1982-12-04""}, {""chart_position"": 55, ""chart_date"": ""1982-12-11""}, {""chart_position"": 55, ""chart_date"": ""1982-12-18""}, {""chart_position"": 55, ""chart_date"": ""1982-12-25""}, {""chart_position"": 55, ""chart_date"": ""1983-01-01""}, {""chart_position"": 66, ""chart_date"": ""1983-01-08""}, {""chart_position"": 94, ""chart_date"": ""1983-01-15""}]",12,55,94,"[Prelude] / (Ha, ha, ha, ha, ha, this is a party) / [Intro] / (Oh yeah, well alright) / (Oh yeah, well alright) / (Oh yeah, well alright) / (Oh yeah, well alright) / [Verse 1] / Roll back the rug, everybody / Move all the tables and chairs / We're gonna have us a good time tonight / Every time that we meet / We skip and we dip to the beat, hey, yeah / What in the world could be better / Than getting together again? / [Pre-Chorus 1] / The last time we had a party / It ended when the sun came up / That's why your mama told you / That you couldn't go out / Stay in the house / [Chorus] / Bad boy, gonna sneak out tonight / He's gonna tip by her window / 'Cause he sure wants to go out and dance[Verse 2] / Everyone's here, let 'em all in (Oh yeah) / The chandelier downstairs has fallen (Well alright) / I know it's hard to resist / This is the party no one wanted to miss / If you don't get home on the double, boy (Oh yeah) / You're going to be in trouble (Well alright) / I hope your mama don't look in your room / 'Cause if she does, she'll be here soon / [Pre-Chorus 2] / (Boy) She's gonna be mad / You're a bad boy (Boy) / You've got it bad, boy / (Boy) Say goodbye to your friends / 'Cause it's gonna be a while / 'Til you see them again, oh / [Chorus] / Bad boy, gonna sneak out tonight / He's gonna tip by her window / 'Cause he sure wants to get out and dance / [Break] / (Ooh yeah) / (Right, sure 'nough) / (Sure 'nough)[Bridge] / Everybody's swinging, dancing to the music / On the radio, having a party / Everybody's swinging, dancing to the music / On the radio, oh, no, no, no, no / You can't go / [Chorus] / Bad boy, he's gotta sneak out tonight / Gonna tip by her window / 'Cause he sure wants to get out and dance / [Break] / (Ooh yeah) / Ow! / [Bridge] / Everybody's swinging, dancing to the music / (This is it, this is it) / On the radio, having a party / Everybody's swinging, dancing to the music / On the radio, oh, no, no, no, no / You can't go / [Outro] / Oh, bad boy, he's gonna sneak out tonight / He's gonna tip by her window / Bad boy, he's gonna sneak out tonight / He's gonna tip by her window / Tip by her window / Oh, bad boy, he's gonna sneak out tonight / He's gonna tip by her window / Tip by her window","{'Producer': 'Luther Vandross', 'Writers': 'Sam Cooke, Luther Vandross, Marcus Miller', 'Release Date': 'September 21, 1982', 'Tags': ['Pop', 'R&B', 'Synth Funk', 'Soundtrack', 'Singer-Songwriter', 'Contemporary R&B', 'Soul Pop', 'Soul']}"
Bad Boy,Juice WRLD & Young Thug,"[{""chart_position"": 22, ""chart_date"": ""2021-01-30""}, {""chart_position"": 57, ""chart_date"": ""2021-02-06""}, {""chart_position"": 73, ""chart_date"": ""2021-02-13""}, {""chart_position"": 83, ""chart_date"": ""2021-02-20""}, {""chart_position"": 98, ""chart_date"": ""2021-02-27""}]",5,22,98,"[Intro: Juice WRLD] / Yeah / ( / Yo Pi'erre, you wanna come out here? / ) / Yeah / [Chorus: Juice WRLD &  / Young Thug / ] / Will Smith and Martin Lawrence, I'm a bad boy / Went and got off my ass and got to the cash and got in my bag, boy / Please don't think it's sweet, I stay with the heat even though I'm a sad boy / You better watch the way you breathe around me 'fore that breath be your last, boy ( / Let's go, yeah / ) / [Post-Chorus: Young Thug] / I've been drinking red, rasp', boy (Red, yeah) / I've been trappin' all these birds, McCoy (McCoy, brr) / Newborn baby, my Richard Mille nine months, ooh / Overseas, hundreds gettin', bitch, croissants (Yeah) / [Verse 1: Juice WRLD] / Wrecked the GT-R (Skrrt), I love to crash cars / I'm a bad boy, so I got a bad broad / Futuristic rides imported from Mars (Skrrt, skrrt, skrrt) / Smith & Wesson 45, put a hole in his heart / Better not play with me, killers, they stay with me, your bitty lay with me / She fell in love with my ice, yeah, the hockey rink / Ain't come to kick it, I'm not on the soccer team / Knew I would make it, it's part of my prophecy / Raf Simons match my Prada jeans / I'ma do the dash, get to the bag, ain't no one as bad as me[Chorus: Juice WRLD &  / Young Thug / ] / Will Smith and Martin Lawrence, I'm a bad boy / Went and got off my ass and got to the cash and got in my bag, boy / Please don't think it's sweet, I stay with the heat even though I'm a sad boy / You better watch the way you breathe around me 'fore that breath be your last, boy ( / Let's go, yeah / ) / [Post-Chorus: Young Thug] / I've been drinking red, rasp', boy (Red, yeah) / I've been trappin' all these birds, McCoy (McCoy, brr) / Newborn baby, my Richard Mille nine months, ooh / Overseas, hundreds gettin', bitch, croissants (Yeah) / [Verse 2: Young Thug] / Sticky, sticky Ricky, I smoke Skittles, not no sticky (Sticky) / I shot at his mommy, now he no longer mention me (Thot, thot) / You say you want smoke and I've been comin' down the chimney (Woah) / You got' barbecue your bitches, I'm so fried and they crispy (Ooh) / I had on Margielas when I shot at the cunt (Murk) / Act like you want war and they gon' smoke you like a blunt (Smoke you like a blunt) / I'm just keeping it real with ya, I'm just bein' blunt (I'm just being blunt) / Porsche Carrera got the pipes out the back like a skunk, yeah (Skrrt) / Skrrt-skrrt / Skrrt-skrrt / That's just the sound of the 'Vette (Skrrt), I keep me the 'Vette (Skrrt) / I keep me a text (Skrrt), I read your message (Skrrt) / I bust on her chest (Skrrt), I made a mess (Skrrt) / I hope for the best (Skrrt), gold like a chest (Skrrt) / I be the best (Skrrt), I got the neck (Skrrt) / I can turn a check (Skrrt), live like Project X (Skrrt, skrrt)[Chorus: Juice WRLD &  / Young Thug / ] / Will Smith and Martin Lawrence, I'm a bad boy / Went and got off my ass and got to the cash and got in my bag, boy / Please don't think it's sweet, I stay with the heat even though I'm a sad boy / You better watch the way you breathe around me 'fore that breath be your last, boy ( / Let's go, yeah / ) / [Post-Chorus: Young Thug] / I've been drinking red, rasp', boy (Red, yeah) / I've been trappin' all these birds, McCoy (McCoy, brr) / Newborn baby, my Richard Mille nine months, ooh / Overseas, hundreds gettin', bitch, croissants (Yeah)","{'Producer': 'Pi’erre Bourne', 'Writers': 'Pi’erre Bourne, Young Thug, Juice WRLD', 'Release Date': 'January 15, 2021', 'Tags': ['Rap', 'Cloud Rap', 'Rage', 'Pop Rap', 'Chicago Rap', 'Hip-Hop', 'Trap', 'Atlanta Rap']}"
Bad Boy,Marty Wilde,"[{""chart_position"": 90, ""chart_date"": ""1960-02-06""}, {""chart_position"": 62, ""chart_date"": ""1960-02-13""}, {""chart_position"": 45, ""chart_date"": ""1960-02-20""}, {""chart_position"": 49, ""chart_date"": ""1960-02-27""}, {""chart_position"": 48, ""chart_date"": ""1960-03-05""}, {""chart_position"": 58, ""chart_date"": ""1960-03-12""}, {""chart_position"": 74, ""chart_date"": ""1960-03-19""}, {""chart_position"": 97, ""chart_date"": ""1960-03-26""}]",8,45,97,"[Verse] / All the people down the street, whoever you meet / Say I'm a bad boy, say I'm a bad boy / Say I'm a bad boy / [Verse] / Even dear old dad, when he gets mad / Says I'm a bad boy, says I'm a bad boy / Says I'm a bad boy / [Pre-Chorus] / Well, you see now, I got a girl / And we stay out late, almost every night / Well, the people just stare and they declare / Well well, it just ain't right / [Chorus] / But if only they knew how I love you / They'd say a bad boy, could be a good boy / Who's just in love / [Pre-Chorus] / Well, you see now, I got a girl / And we stay out late, almost every night / Well, the people just stare and they declare / Well well, it just ain't right[Chorus] / But if only they knew how I love you / They'd say a bad boy, could be a good boy / Who's just in love / [Outro] / So much in love / So crazy in love / So much in love","{'Producer': 'Joe Meek', 'Writers': '', 'Release Date': 'N/A', 'Tags': ['Rock', 'Pop']}"
Bad Boy,Miami Sound Machine,"[{""chart_position"": 76, ""chart_date"": ""1986-03-08""}, {""chart_position"": 55, ""chart_date"": ""1986-03-15""}, {""chart_position"": 49, ""chart_date"": ""1986-03-22""}, {""chart_position"": 38, ""chart_date"": ""1986-03-29""}, {""chart_position"": 33, ""chart_date"": ""1986-04-05""}, {""chart_position"": 23, ""chart_date"": ""1986-04-12""}, {""chart_position"": 18, ""chart_date"": ""1986-04-19""}, {""chart_position"": 13, ""chart_date"": ""1986-04-26""}, {""chart_position"": 11, ""chart_date"": ""1986-05-03""}, {""chart_position"": 8, ""chart_date"": ""1986-05-10""}, {""chart_position"": 8, ""chart_date"": ""1986-05-17""}, {""chart_position"": 8, ""chart_date"": ""1986-05-24""}, {""chart_position"": 16, ""chart_date"": ""1986-05-31""}, {""chart_position"": 21, ""chart_date"": ""1986-06-07""}, {""chart_position"": 32, ""chart_date"": ""1986-06-14""}, {""chart_position"": 47, ""chart_date"": ""1986-06-21""}, {""chart_position"": 54, ""chart_date"": ""1986-06-28""}, {""chart_position"": 67, ""chart_date"": ""1986-07-05""}, {""chart_position"": 83, ""chart_date"": ""1986-07-12""}]",19,8,83,"[Intro] / Bad boy, bad boy / Bad boy, bad boy / [Refrain] / Boys will be boys / Bad boy, bad boy / Boys will be boys / Bad boy, bad boy / Boys will be boys / (Always get so restless) / Bad boy, bad boy / Boys will be boys / (Nothing but trouble) / Bad boy, bad boy / Boys will be boys / (If you're feeling breathless) / Bad boy, bad boy / Boys will be boys / (Nothing but trouble) / Bad boy, bad boy / [Chorus] / Bad, bad, bad, bad boy / You make me feel so good / You naughty bad, bad, bad, bad, boy / You make me feel so good / Knew you would[Verse 1] / The way you hold me tight / You get me so excited / You do me oh so right / My heart goes beat beat / Beat beat, beat beat / [Chorus] / Bad, bad, bad, bad boy / You make me feel so good / You naughty bad, bad, bad, bad, boy / You make me feel so good / Knew you would / [Refrain] / Boys will be boys / (Always get so restless) / Bad boy, bad boy / Boys will be boys / (Nothing but trouble) / Bad boy, bad boy / Boys will be boys / (If you're feeling breathless) / Bad boy, bad boy / Boys will be boys / (Nothing but trouble) / Bad boy, bad boy[Verse 2] / And when he drives me home / I feel safe at night / You call me on the phone / It goes ring, ring, ring / Ring-a-ring, ring / [Refrain] / Boys will be boys / Bad boy, bad boy / Boys will be boys / Bad boy, bad boy / Boys will be boys / (Always get so restless) / Bad boy, bad boy / Boys will be boys / (Nothing but trouble) / Bad boy, bad boy / Boys will be boys / (If you're feeling breathless) / Bad boy, bad boy / Boys will be boys / (Nothing but trouble) / Bad boy, bad boy / Boys will be boys / (Always get so restless) / Bad boy, bad boy / Boys will be boys / (Nothing but trouble) / Bad boy, bad boy / Boys will be boys / (If you're feeling breathless) / Bad boy, bad boy","{'Producer': 'Emilio Estefan', 'Writers': 'Rafael Vigil, Joe Galdo, Lawrence Dermer', 'Release Date': 'August 13, 1985', 'Tags': ['Pop', 'Latin Pop', 'Dance']}"
Bad Boy,Ray Parker Jr.,"[{""chart_position"": 70, ""chart_date"": ""1982-12-04""}, {""chart_position"": 59, ""chart_date"": ""1982-12-11""}, {""chart_position"": 51, ""chart_date"": ""1982-12-18""}, {""chart_position"": 47, ""chart_date"": ""1982-12-25""}, {""chart_position"": 47, ""chart_date"": ""1983-01-01""}, {""chart_position"": 45, ""chart_date"": ""1983-01-08""}, {""chart_position"": 40, ""chart_date"": ""1983-01-15""}, {""chart_position"": 37, ""chart_date"": ""1983-01-22""}, {""chart_position"": 35, ""chart_date"": ""1983-01-29""}, {""chart_position"": 35, ""chart_date"": ""1983-02-05""}, {""chart_position"": 73, ""chart_date"": ""1983-02-12""}, {""chart_position"": 95, ""chart_date"": ""1983-02-19""}]",12,35,95,"I've been a bad boy / Now I wanna come back home / I've been a bad boy / Now I wanna come back home / I admit that I was messing around / Playing macho man and being cool / But all along you knew right from the start / She was just playing me for a fool / Now that the love affair is over / Here I come running back to you / So go ahead, girl, and punish me / 'Cause I deserve to be hurt too / I've been a bad boy / Now I wanna come back home / Please let me in / I've been a bad boy / Now I wanna come back home / I'll never do it again / I don't know what came over me / Let my friends tell me what to do / But I swear it'll never happen again / 'Cause your love's too valuable to lose / I know it's hard to forgive me / 'Cause I acted like a spoiled brat / Soon as the other woman left me / I had the nerve to come running back.  HooI've been a bad boy / Now I wanna come back home / I know I done wrong / I've been a bad boy / Now I wanna come back home where I belong / Bad boy / I'll do the dishes, baby.  Mmmm, mmmm / Bad boy / Now I got to be punished / Come on, spank me, whip me / Let me come back home / Break out the leather, baby / Go ahead, spank me, whip me / Let me come back home where I belong / I was just so young / But I am a man now, baby.  Mmmm / I'm a whole lot more mature / Now I know how to treat a lady.  Oh / We've been together for so long, girl / Give me one more chance / Never again will I do wrong.  Oh / I've been a bad boy / Now I wanna come back home / Please let me in / I've been a bad boy / If you let me come back home / I'll never do it againSpank me, whip me / Let me come back home / Break out the leather, baby / Go ahead, spank me, whip me / Let me come back home / Come on and hurt me if you want to / Bad boy / If you let me come back home / I'll do the dishes, baby.  Oh / Bad boy / Please won't you let me come back home / I'll take out the trash, yeah / Bad boy / Hee, hee, hee, hee.  (Come back home)","{'Producer': 'Ray Parker Jr.', 'Writers': '', 'Release Date': 'December 18, 1982', 'Tags': ['R&B', 'Soul', 'Funk']}"
"Bad Boys (Theme From ""Cops"")",Inner Circle,"[{""chart_position"": 73, ""chart_date"": ""1993-05-01""}, {""chart_position"": 52, ""chart_date"": ""1993-05-08""}, {""chart_position"": 32, ""chart_date"": ""1993-05-15""}, {""chart_position"": 19, ""chart_date"": ""1993-05-22""}, {""chart_position"": 13, ""chart_date"": ""1993-05-29""}, {""chart_position"": 10, ""chart_date"": ""1993-06-05""}, {""chart_position"": 8, ""chart_date"": ""1993-06-12""}, {""chart_position"": 8, ""chart_date"": ""1993-06-19""}, {""chart_position"": 10, ""chart_date"": ""1993-06-26""}, {""chart_position"": 11, ""chart_date"": ""1993-07-03""}, {""chart_position"": 13, ""chart_date"": ""1993-07-10""}, {""chart_position"": 22, ""chart_date"": ""1993-07-17""}, {""chart_position"": 32, ""chart_date"": ""1993-07-24""}, {""chart_position"": 35, ""chart_date"": ""1993-07-31""}, {""chart_position"": 53, ""chart_date"": ""1993-08-07""}, {""chart_position"": 55, ""chart_date"": ""1993-08-14""}, {""chart_position"": 59, ""chart_date"": ""1993-08-21""}, {""chart_position"": 71, ""chart_date"": ""1993-08-28""}, {""chart_position"": 78, ""chart_date"": ""1993-09-04""}, {""chart_position"": 93, ""chart_date"": ""1993-09-11""}]",20,8,93,"*Bad Boys (Theme from COPS) by Inner Circle plays* / [Dan Denton] / My name is, uhh, Officer Dan Denton. / I'm with the VicPD, been with them since January 22nd, 1994. / We have a call of a car accident off of, uhh, Interurban and Mackenzie there. / Uh, we have reason to believe that this is the individual that was involved with the, uhh, the call we got last night about breaking and entering and, uh, sexual assault. / Uhm, so we're gonna head on down to the ,uhh, the site, there and uh, we're gonna see if this is the individual that, uh, we are looking for.","{'Producer': 'XTorinX', 'Writers': '', 'Release Date': 'January 11, 2017', 'Tags': ['Non-Music']}"
Bad Boys,Wham! U.K.,"[{""chart_position"": 90, ""chart_date"": ""1983-08-20""}, {""chart_position"": 80, ""chart_date"": ""1983-08-27""}, {""chart_position"": 69, ""chart_date"": ""1983-09-03""}, {""chart_position"": 62, ""chart_date"": ""1983-09-10""}, {""chart_position"": 60, ""chart_date"": ""1983-09-17""}, {""chart_position"": 60, ""chart_date"": ""1983-09-24""}, {""chart_position"": 73, ""chart_date"": ""1983-10-01""}, {""chart_position"": 77, ""chart_date"": ""1983-10-08""}, {""chart_position"": 97, ""chart_date"": ""1983-10-15""}]",9,60,97,"[Intro] / Woo woo / [Verse 1] / Dear mommy, dear daddy / You had plans for me, oh yeah / I was your only son / And long before this baby boy / Could count to three / You knew just what he would become / Run along to school / No child of mine grows up a fool / Run along to school / When you tried to tell me what to do / I just shut my mouth and smiled at you / One thing that I know for sure / [Chorus] / Bad boys, stick together / Never, sad boys / Doo doo doo doo doo, woo woo / Good guys, they made rules for fools / So get wise / Doo doo doo doo doo, doo doo doo / [Verse 2] / Dear mommy, dear daddy / Now I’m 19, as you see / I'm handsome, tall and strong / So what the hell gives you the right / To look at me as if to say “Hell, what went wrong?” / Where were you last night? / You look as if you had a fight / Where were you last night? / Well I think that you may just be right / But don’t try to keep me in tonight / Because I’m big enough to break down the door[Chorus] / Bad boys, stick together / Never, sad boys / Doo doo doo doo doo, woo woo / Good guys, they made rules for fools / So get wise / Doo doo doo doo doo, doo doo doo / [Bridge] / Boys like you are bad through and through / Still, girls like me / Always seem to be with you / We can’t help but worry / (You’re in such a hurry) / Mixing with the wrong boys / (Playing with the wrong toys) / Easy girls (And late nights) / Cigarettes (And love bites) / Why do you have to be so cruel? / You’re such a fool / [Chorus] / Bad boys, stick together / Never, sad boys / Doo doo doo doo doo, woo woo / Good guys, they made rules for fools / So get wise / Doo doo doo doo doo, doo doo doo / Bad boys, stick together / Never, sad boys / Doo doo doo doo doo, woo woo / Good guys, they made rules for fools / So get wise / Doo doo doo doo doo, doo doo doo","{'Producer': 'Steve Brown', 'Writers': '', 'Release Date': 'May 2, 1983', 'Tags': ['Pop', 'In English', 'Singer-Songwriter', 'Dance-Pop', 'UK']}"
Bad Boyz,Shyne Featuring Barrington Levy,"[{""chart_position"": 94, ""chart_date"": ""2000-09-09""}, {""chart_position"": 87, ""chart_date"": ""2000-09-16""}, {""chart_position"": 90, ""chart_date"": ""2000-09-23""}, {""chart_position"": 90, ""chart_date"": ""2000-09-30""}, {""chart_position"": 82, ""chart_date"": ""2000-10-07""}, {""chart_position"": 67, ""chart_date"": ""2000-10-14""}, {""chart_position"": 61, ""chart_date"": ""2000-10-21""}, {""chart_position"": 57, ""chart_date"": ""2000-10-28""}, {""chart_position"": 71, ""chart_date"": ""2000-11-04""}, {""chart_position"": 78, ""chart_date"": ""2000-11-11""}, {""chart_position"": 74, ""chart_date"": ""2000-11-18""}, {""chart_position"": 81, ""chart_date"": ""2000-11-25""}, {""chart_position"": 88, ""chart_date"": ""2000-12-02""}, {""chart_position"": 96, ""chart_date"": ""2000-12-09""}, {""chart_position"": 100, ""chart_date"": ""2000-12-16""}]",15,57,100,"Shyne F/ Barrington Levy / Miscellaneous / Bad Boyz / [Shyne] / Now tell me who want to fuck with us? / Ashes to ashes, dust to dust / I bang - and let your fuckin brains hang, snitches / Fuck all them able bitches with riches / Who carry 22's, up in they hosiery / A black teller when my father bust and unloaded me / Think he just finished sniffin a ki, and dippin the D's / Don't hate me, hate Nicky Barnes for hittin my moms / Letting the condom pop, nigga I was born in the drop / Coke boil in the pot, shake the Feds / And bust shots at them street cops / Fuck yo' point is? My point is double fours at your fuckin jaws / Pointed, hollow point shit / Four-point-six, need I say more? / Or do you get the point bitch? C'mon / What type of nigga slang and bang in the streets? (Bad Boyz) / What type of nigga stay in the Trump for weeks? (Bad Boyz) / What type of nigga fly Bentley Coupes? (Bad Boyz) / Aim for the sky, cop the shit then shoot .. / [Shyne] / Minks draggin on the floor - bangin on your whore / Suckin the croissant just examine it for flaws / Pour the Cristal on the way to trial, RICO law / Got a nigga head hurtin squirtin til they pull the curtain / Let the money drip dry, hundred dollar bills / Wipe the tears from my eyes, no love / Fuck y'all niggas, hope you die a slow death / As I coke-test and see the lawyers talk of protest / Can't fuck with you weak rap niggas, witcha gay raps / Runnin 'round talkin this and talkin that / See me in the streets, tried to give me dap / Andrew /   / Cunanan ass niggas / My two cannons blast niggas, ass niggas / Got me fucked up in the game, get your shirt stained / Keep your five mics nigga, give me the 'caine / Do the shit to clean my money dummies, gleamed the wrist out / Cop the pist-al, nigga, talk shit now, uh / What type of nigga slang and bang in the streets? (Bad Boyz) / What type of nigga stay in the Trump for weeks? (Bad Boyz) / What type of nigga fly Bentley Coupes? (Bad Boyz) / Aim for the sky, cop the shit then shoot .. / [Shyne] / Bling bling, it's a Bad Boy thing / Bullets heat-seekin, streep sweepin, with an evil grin / Watch you die, one love, one life, one Shyne / Y'all niggas ain't sayin nothin, like a mime / Every line, I live it, I write it with a pencil so niggas die / Of lead poison if they bite it, hate it but recite it / It's a G thang, me and Puff in St. Bart's set it off / Bitches walkin topless with G-strings, menage' / Bust shots at your crew, another charge / As the gulf stream fly through the fog / Make ya popular / Pockets filled with more high notes than the opera / Franklins on top of the - Jacksons / My nigga Ty leave you tired / Bad Boy, repsect it or die, coward / What type of nigga slang and bang in the streets? (Bad Boyz) / What type of nigga stay in the Trump for weeks? (Bad Boyz) / What type of nigga fly Bentley Coupes? (Bad Boyz) / Aim for the sky, cop the shit then shoot .. / What type of nigga slang and bang in the streets? (Bad Boyz) / What type of nigga stay in the Trump for weeks? (Bad Boyz) / What type of nigga fly Bentley Coupes? (Bad Boyz) / Aim for the sky, cop the shit then shoot .. / [Barrington Levy chatting patois to fade]","{'Producer': 'N/A', 'Writers': '', 'Release Date': 'N/A', 'Tags': ['Pop']}"
Bad Brakes,Cat Stevens,"[{""chart_position"": 87, ""chart_date"": ""1979-01-27""}, {""chart_position"": 85, ""chart_date"": ""1979-02-03""}, {""chart_position"": 83, ""chart_date"": ""1979-02-10""}, {""chart_position"": 83, ""chart_date"": ""1979-02-17""}]",4,83,87,"Bad brakes whole car shakes / Looks like I'm heading for a breakdown / Black smoke engine beginning to choke / I must be heading for a breakdown / I pulled up for a mouth of Coca-Cola / Down at Samuel's Cafe / Saw a little Spanish lady coming over / Said, ""Lady are you going my way?"" / She said, ""O-lay with your"" / ""Bad brakes carburettor shakes / Looks like you're heading for a breakdown / Black smoke engine beginning to choke / We must be heading for a breakdown"" / We hit the road at 90 miles an hour / Heading for 'Frisco Bay' / She said ""Senor you got cop on your shoulder"" / I said ""Oh now we'd better not stay / Now we got to get away with our"" / ""Bad brakes carburettor shakes / Looks like we're heading for a breakdown"" / He was catching up nose right inside our mirror / When the motor blowed / We climbed out and she began to shiver / ""Oh, no sir, please let us go"" / He said ""Don't you know you got""Bad brakes carburettor shakes / Looks like you bought yourself a breakdown / Black smoke engine beginning to choke / And you've got yourself a breakdown"" / Bad brakes engine beginning to shake / Looks like we got ourselves a breakdown / Black smoke engine beginning to choke / We got ourselves a breakdown","{'Producer': 'Paul Samwell-Smith', 'Writers': 'Cat Stevens, Alun Davies', 'Release Date': 'December 3, 1978', 'Tags': ['Pop']}"
"Bad Case Of Loving You (Doctor, Doctor)",Robert Palmer,"[{""chart_position"": 74, ""chart_date"": ""1979-07-21""}, {""chart_position"": 64, ""chart_date"": ""1979-07-28""}, {""chart_position"": 50, ""chart_date"": ""1979-08-04""}, {""chart_position"": 38, ""chart_date"": ""1979-08-11""}, {""chart_position"": 30, ""chart_date"": ""1979-08-18""}, {""chart_position"": 26, ""chart_date"": ""1979-08-25""}, {""chart_position"": 21, ""chart_date"": ""1979-09-01""}, {""chart_position"": 19, ""chart_date"": ""1979-09-08""}, {""chart_position"": 17, ""chart_date"": ""1979-09-15""}, {""chart_position"": 15, ""chart_date"": ""1979-09-22""}, {""chart_position"": 14, ""chart_date"": ""1979-09-29""}, {""chart_position"": 14, ""chart_date"": ""1979-10-06""}, {""chart_position"": 34, ""chart_date"": ""1979-10-13""}, {""chart_position"": 67, ""chart_date"": ""1979-10-20""}, {""chart_position"": 97, ""chart_date"": ""1979-10-27""}]",15,14,97,"Whoa / [Verse 1] / A hot summer night fell like a net / I've gotta find my baby yet / I need you to soothe my head / Turn my blue heart to red / [Chorus] / Doctor, doctor, gimme the news / I got a bad case of loving you / No pill's gonna cure my ill / I've got a bad case of lovin' you / [Verse 2] / A pretty face don't make no pretty heart / I learned that, buddy, from the start / You think I'm cute, a little bit shy / Mama, I ain't that kind of guy / [Chorus] / Doctor, doctor, gimme the news / I got a bad case of loving you / No pill's gonna cure my ill / I got a bad case of lovin' youWhoa / [Bridge] / I know you like it, you like it on top / Tell me, mama, are you gonna stop? / [Verse 3] / You had me down twenty-one to zip / Smile of Judas on your lip / Shake my fist, knock on wood / I've got it bad and I got it good / [Chorus] / Doctor, doctor, gimme the news / I've got a bad case of loving you / No pill's gonna cure my ill / I got a bad case of lovin' you","{'Producer': 'Robert Palmer', 'Writers': '', 'Release Date': 'May 25, 1979', 'Tags': ['Pop']}"
