Year,Very Happy,Pretty Happy,Not Too Happy
1972,486,855,265
1973,538,766,196
1974,561,725,194
1975,488,803,194
1976,511,800,188
1977,532,813,182
1978,521,851,145
1980,496,771,195
1982,567,1019,269
1983,490,882,201
1984,502,756,187
1985,438,918,174
1986,468,816,165
1987,518,1023,239
1988,498,832,136
1989,498,880,148
1990,455,784,122
1991,467,872,165
1993,506,917,178
1994,857,1756,364
1996,877,1659,349
1998,891,1575,340
2000,881,1603,293
2002,415,784,170
2004,419,738,180
2006,920,1676,390
2008,599,1100,316
2010,538,1184,317
2012,593,1094,277
2014,786,1403,341
2016,806,1601,452
2018,701,1307,336
2021,783,2308,923
2022,779,1942,799
