song,performer,chart_instances,time_on_chart,peak_position,worst_position
"""B"" Girls",Young And Restless,"[{""chart_position"": 84, ""chart_date"": ""1990-05-05""}, {""chart_position"": 78, ""chart_date"": ""1990-05-12""}, {""chart_position"": 68, ""chart_date"": ""1990-05-19""}, {""chart_position"": 60, ""chart_date"": ""1990-05-26""}, {""chart_position"": 58, ""chart_date"": ""1990-06-02""}, {""chart_position"": 55, ""chart_date"": ""1990-06-09""}, {""chart_position"": 54, ""chart_date"": ""1990-06-16""}, {""chart_position"": 57, ""chart_date"": ""1990-06-23""}, {""chart_position"": 67, ""chart_date"": ""1990-06-30""}, {""chart_position"": 75, ""chart_date"": ""1990-07-07""}, {""chart_position"": 77, ""chart_date"": ""1990-07-14""}, {""chart_position"": 79, ""chart_date"": ""1990-07-21""}, {""chart_position"": 79, ""chart_date"": ""1990-07-28""}, {""chart_position"": 83, ""chart_date"": ""1990-08-04""}, {""chart_position"": 91, ""chart_date"": ""1990-08-11""}]",15,54,91
"""Cherry Cherry"" from Hot August Night",Neil Diamond,"[{""chart_position"": 84, ""chart_date"": ""1973-03-17""}, {""chart_position"": 64, ""chart_date"": ""1973-03-24""}, {""chart_position"": 56, ""chart_date"": ""1973-03-31""}, {""chart_position"": 49, ""chart_date"": ""1973-04-07""}, {""chart_position"": 42, ""chart_date"": ""1973-04-14""}, {""chart_position"": 36, ""chart_date"": ""1973-04-21""}, {""chart_position"": 35, ""chart_date"": ""1973-04-28""}, {""chart_position"": 31, ""chart_date"": ""1973-05-05""}, {""chart_position"": 31, ""chart_date"": ""1973-05-12""}, {""chart_position"": 51, ""chart_date"": ""1973-05-19""}]",10,31,84
"""Having A Party"" Medley",The Ovations (Featuring Louis Williams),"[{""chart_position"": 99, ""chart_date"": ""1973-10-13""}, {""chart_position"": 95, ""chart_date"": ""1973-10-20""}, {""chart_position"": 87, ""chart_date"": ""1973-10-27""}, {""chart_position"": 79, ""chart_date"": ""1973-11-03""}, {""chart_position"": 73, ""chart_date"": ""1973-11-10""}, {""chart_position"": 70, ""chart_date"": ""1973-11-17""}, {""chart_position"": 63, ""chart_date"": ""1973-11-24""}, {""chart_position"": 56, ""chart_date"": ""1973-12-01""}, {""chart_position"": 62, ""chart_date"": ""1973-12-08""}]",9,56,99
"""Joy"" Pt. I",Isaac Hayes,"[{""chart_position"": 72, ""chart_date"": ""1973-12-22""}, {""chart_position"": 62, ""chart_date"": ""1973-12-29""}, {""chart_position"": 44, ""chart_date"": ""1974-01-05""}, {""chart_position"": 36, ""chart_date"": ""1974-01-12""}, {""chart_position"": 33, ""chart_date"": ""1974-01-19""}, {""chart_position"": 31, ""chart_date"": ""1974-01-26""}, {""chart_position"": 30, ""chart_date"": ""1974-02-02""}, {""chart_position"": 30, ""chart_date"": ""1974-02-09""}, {""chart_position"": 42, ""chart_date"": ""1974-02-16""}]",9,30,72
"""Roots"" Medley",Quincy Jones,"[{""chart_position"": 87, ""chart_date"": ""1977-03-05""}, {""chart_position"": 76, ""chart_date"": ""1977-03-12""}, {""chart_position"": 66, ""chart_date"": ""1977-03-19""}, {""chart_position"": 64, ""chart_date"": ""1977-03-26""}, {""chart_position"": 61, ""chart_date"": ""1977-04-02""}, {""chart_position"": 57, ""chart_date"": ""1977-04-09""}, {""chart_position"": 83, ""chart_date"": ""1977-04-16""}]",7,57,87
"""Yep!""",Duane Eddy His Twangy Guitar And The Rebels,"[{""chart_position"": 99, ""chart_date"": ""1959-03-28""}, {""chart_position"": 61, ""chart_date"": ""1959-04-04""}, {""chart_position"": 46, ""chart_date"": ""1959-04-11""}, {""chart_position"": 30, ""chart_date"": ""1959-04-18""}, {""chart_position"": 40, ""chart_date"": ""1959-04-25""}, {""chart_position"": 46, ""chart_date"": ""1959-05-02""}, {""chart_position"": 52, ""chart_date"": ""1959-05-09""}, {""chart_position"": 55, ""chart_date"": ""1959-05-16""}, {""chart_position"": 78, ""chart_date"": ""1959-05-23""}]",9,30,99
#1 Dee Jay,Goody Goody,"[{""chart_position"": 88, ""chart_date"": ""1978-11-18""}, {""chart_position"": 84, ""chart_date"": ""1978-11-25""}, {""chart_position"": 82, ""chart_date"": ""1978-12-02""}, {""chart_position"": 99, ""chart_date"": ""1978-12-09""}, {""chart_position"": 99, ""chart_date"": ""1978-12-16""}]",5,82,99
#1,Nelly,"[{""chart_position"": 75, ""chart_date"": ""2001-10-20""}, {""chart_position"": 67, ""chart_date"": ""2001-10-27""}, {""chart_position"": 61, ""chart_date"": ""2001-11-03""}, {""chart_position"": 54, ""chart_date"": ""2001-11-10""}, {""chart_position"": 40, ""chart_date"": ""2001-11-17""}, {""chart_position"": 30, ""chart_date"": ""2001-11-24""}, {""chart_position"": 23, ""chart_date"": ""2001-12-01""}, {""chart_position"": 23, ""chart_date"": ""2001-12-08""}, {""chart_position"": 22, ""chart_date"": ""2001-12-15""}, {""chart_position"": 22, ""chart_date"": ""2001-12-22""}, {""chart_position"": 25, ""chart_date"": ""2001-12-29""}, {""chart_position"": 25, ""chart_date"": ""2002-01-05""}, {""chart_position"": 25, ""chart_date"": ""2002-01-12""}, {""chart_position"": 24, ""chart_date"": ""2002-01-19""}, {""chart_position"": 24, ""chart_date"": ""2002-01-26""}, {""chart_position"": 32, ""chart_date"": ""2002-02-02""}, {""chart_position"": 41, ""chart_date"": ""2002-02-09""}, {""chart_position"": 54, ""chart_date"": ""2002-02-16""}, {""chart_position"": 63, ""chart_date"": ""2002-02-23""}, {""chart_position"": 72, ""chart_date"": ""2002-03-02""}]",20,22,75
#9 Dream,John Lennon,"[{""chart_position"": 68, ""chart_date"": ""1974-12-21""}, {""chart_position"": 58, ""chart_date"": ""1974-12-28""}, {""chart_position"": 47, ""chart_date"": ""1975-01-04""}, {""chart_position"": 35, ""chart_date"": ""1975-01-11""}, {""chart_position"": 29, ""chart_date"": ""1975-01-18""}, {""chart_position"": 21, ""chart_date"": ""1975-01-25""}, {""chart_position"": 17, ""chart_date"": ""1975-02-01""}, {""chart_position"": 13, ""chart_date"": ""1975-02-08""}, {""chart_position"": 10, ""chart_date"": ""1975-02-15""}, {""chart_position"": 9, ""chart_date"": ""1975-02-22""}, {""chart_position"": 13, ""chart_date"": ""1975-03-01""}, {""chart_position"": 47, ""chart_date"": ""1975-03-08""}]",12,9,68
#Beautiful,Mariah Carey Featuring Miguel,"[{""chart_position"": 24, ""chart_date"": ""2013-05-25""}, {""chart_position"": 20, ""chart_date"": ""2013-06-01""}, {""chart_position"": 20, ""chart_date"": ""2013-06-08""}, {""chart_position"": 17, ""chart_date"": ""2013-06-15""}, {""chart_position"": 15, ""chart_date"": ""2013-06-22""}, {""chart_position"": 15, ""chart_date"": ""2013-06-29""}, {""chart_position"": 16, ""chart_date"": ""2013-07-06""}, {""chart_position"": 17, ""chart_date"": ""2013-07-13""}, {""chart_position"": 17, ""chart_date"": ""2013-07-20""}, {""chart_position"": 23, ""chart_date"": ""2013-07-27""}, {""chart_position"": 37, ""chart_date"": ""2013-08-03""}, {""chart_position"": 54, ""chart_date"": ""2013-08-10""}, {""chart_position"": 60, ""chart_date"": ""2013-08-17""}, {""chart_position"": 73, ""chart_date"": ""2013-08-24""}, {""chart_position"": 86, ""chart_date"": ""2013-08-31""}, {""chart_position"": 95, ""chart_date"": ""2013-09-07""}]",16,15,95
