song,artist,lyrics,metadata
Singin' In The Rain,Gene Kelly,"Do, do-do-do / Do, do-do-do-do, do-do-do / Do-do, do-do-do / Do, do-do-do-do, do-do-do / Do-do, do-do-do / Do, do-do-do-do, do-do-do / Do, do-do-do / I'm singin' in the rain, just singin' in the rain / What a glorious feelin', I'm happy again / I'm laughin' at clouds so dark up above / The sun's in my heart and I'm ready for love / Let the stormy clouds chase everyone from the place / Come on with the rain, I've a smile on my face / I walk down the lane with a happy refrain / Just singin', singin' in the rain / Dancing in the rain / I'm happy again / I'm singin' and dancin' in the rain / I'm dancin' and singin' in the rain","{'Producer': 'Arthur Freed', 'Writers': 'Nacio Herb Brown, Arthur Freed', 'Release Date': 'N/A', 'Tags': ['Pop', 'Cover', 'Soundtrack', 'Musicals']}"
That's Amore,Dean Martin,"[Intro: Choir] / (In Napoli where love is king) / (When boy meets girl) / (Here's what they say) / [Chorus: Dean Martin] / When the moon hits your eye / Like a big pizza pie, that's amore / When the world seems to shine / Like you've had too much wine, that's amore / [Bridge: Dean Martin] / Bells will ring, ting-a-ling-a-ling / Ting-a-ling-a-ling and you'll sing, ""Vita bella"" / Hearts will play tippy-tippy-tay / Tippy-tippy-tay like a gay tarantella / [Verse: Dean Martin] / When the stars make you drool / Just like a pasta e fasule, that's amore / When you dance down the street / With a cloud at your feet, you're in love / When you walk in a dream / But you know, you're not dreaming, signore / Scusami, but you see / Back in old Napoli, that's amore[Chorus: (Choir) & Dean Martin] / (When the moon hits your eye) / (Like a big pizza pie, that's amore) That's amore / (When the world seems to shine) / (Like you've had too much wine, that's amore) That's amore / [Bridge: (Choir) & Dean Martin] / (Bells will ring ting-a-ling-a-ling) / (Ting-a-ling-a-ling and you'll sing, ""Vita bella, vita bella, vita bella"") / (Hearts will play tippy-tippy-tay) / (Tippy-tippy-tay like a gay tarantella) /  Lucky fella / [Verse: Dean Martin & Choir] / When the stars make you drool / Just like a pasta e fasule, that's amore (That's amore) / When you dance down the street / With a cloud at your feet, you're in love / When you walk in a dream / But you know, you're not dreaming, signore / Scusami, but you see / Back in old Napoli, that's amore / [Outro: Dean Martin] / (Amore) That's amore","{'Producer': 'Lee Gillette', 'Writers': 'Jac Brooks, Harry Warren', 'Release Date': 'September 14, 1953', 'Tags': ['Pop', 'In English', 'USA']}"
I've Got A Woman,Ray Charles,"[Intro] / Well / [Chorus] / I got a woman, way over town / That's good to me, oh yeah / Say I got a woman, way over town / Good to me, oh yeah / She give me money when I'm in need / Yeah, she's a kind of friend indeed / I got a woman, way over town / That's good to me, oh yeah / [Verse 1] / She saves her lovin', early in the mornin' / Just for me, oh yeah / She saves her lovin', early in the mornin' / Just for me, oh yeah / She saves her lovin', just for me / Aah, she love me, so tenderly / I got a woman, way over town / That's good to me, oh yeah / [Saxophone Solo] / [Verse 2] / She's there to love me / Both day and night / Never grumbles or fusses / Always treats me right / Never runnin' in the streets / And leavin' me alone / She knows a woman's place / Is right there, now, in her home[Chorus] / I got a woman, way over town / That's good to me, oh yeah / Say I got a woman, way over town / That's good to me, oh yeah / Oh she's my baby, oh don't you understand / Yeah, and I'm her lover man / I got a woman, way over town / That's good to me, oh yeah / [Outro] / Oh, don't you know she's all right / Oh, don't you know she's all right / She's all right, she's all right / Whoa yeah, oh yeah, oh yeah","{'Producer': 'Jerry Wexler', 'Writers': 'Renald Richard, Ray Charles', 'Release Date': 'N/A', 'Tags': ['Pop', 'R&B', 'In English', 'USA', 'Blues', 'Soul', 'Soul Pop']}"
Tutti Frutti,Little Richard,"[Chorus] / Whop bop b-luma b-lop bam bom / Tutti frutti, oh rooty / Tutti frutti, oh rooty / Tutti frutti, oh rooty / Tutti frutti, oh rooty / Tutti frutti, oh rooty / A wop bop b-luma b-lop bam bom / [Verse 1] / I got a girl named Sue / She knows just what to do / I got a girl named Sue / She knows just what to do / [Bridge] / She rocks to the east, she rocks to the west / But she's the girl that I love best / [Chorus] / Tutti frutti, oh rooty / Tutti frutti, oh rooty, whoo / Tutti frutti, oh rooty / Tutti frutti, oh rooty / Tutti frutti, oh rooty / A wop bop-b-luma b-lop bam bom[Verse 2] / Got a girl named Daisy / She almost drives me crazy / Got a girl named Daisy / She almost drives me crazy / [Bridge] / She knows how to love me, yes, indeed / Boy, you don't know what she do to me / [Chorus] / Tutti frutti, oh rooty / Tutti frutti, oh rooty, whoo / Tutti frutti, oh rooty / Tutti frutti, oh rooty / Tutti frutti, oh rooty / Whop bop-b-luma, oww / [Break] / [Chorus] / Tutti frutti, oh rooty / Tutti frutti, oh rooty, whoo / Tutti frutti, oh rooty / Tutti frutti, oh rooty / Tutti frutti, oh rooty / A wop bop-b-luma b-lop bam bom[Verse 3] / Got a girl named Daisy / She almost drives me crazy / Got a girl named Daisy / She almost drives me crazy / [Bridge] / She knows how to love me, yes, indeed / Boy, you don't know what she do to me / [Chorus] / Tutti frutti, oh rooty / Tutti frutti, oh rooty, whoo / Tutti frutti, oh rooty / Tutti frutti, oh rooty / Tutti frutti, oh rooty / A wop bop-b-luma b-lop bam boom","{'Producer': 'Robert Blackwell', 'Writers': 'Dorothy LaBostrie, Little Richard', 'Release Date': 'October 1, 1955', 'Tags': ['R&B', 'Rock', 'USA', 'In English', 'New Orleans R&B', 'Singer-Songwriter']}"
I Walk The Line,Johnny Cash,"[Verse 1] / I keep a close watch on this heart of mine / I keep my eyes wide open all the time / I keep the ends out for the tie that binds / Because you're mine, I walk the line / [Verse 2] / I find it very, very easy to be true / I find myself alone when each day's through / Yes, I'll admit that I'm a fool for you / Because you're mine, I walk the line / [Verse 3] / As sure as night is dark and day is light / I keep you on my mind both day and night / And happiness I've known proves that it's right / Because you're mine, I walk the line / [Verse 4] / You've got a way to keep me on your side / You give me cause for love that I can't hide / For you, I know I'd even try to turn the tide / Because you're mine, I walk the line / [Verse 1] / I keep a close watch on this heart of mine / I keep my eyes wide open all the time / I keep the ends out for the tie that binds / Because you're mine, I walk the line","{'Producer': 'Sam Phillips (Producer)', 'Writers': '', 'Release Date': 'January 1, 1956', 'Tags': ['Country', 'In English', 'USA', 'Honky-Tonk', 'Rockabilly', 'Singer-Songwriter']}"
Jailhouse Rock,Elvis Presley,"[Verse 1] / The warden threw a party in the county jail / The prison band was there, they began to wail / The band was jumping, and the joint began to swing / You shoulda heard those locked-out jailbirds sing / [Chorus] / Let's rock, everybody, let's rock / Everybody in the whole cell block / Was dancing to the Jailhouse Rock / [Verse 2] / Spider Murphy played the tenor saxophone / Little Joe was blowing on the slide trombone / The drummer boy from Illinois went crash, boom, bang / The whole rhythm section /  was  / the Purple Gang / [Chorus] / Let's rock, everybody, let's rock / Everybody in the whole cell block / Was dancing to the Jailhouse Rock / [Verse 3] / Number forty-seven said to number three / ""You the cutest jailbird I ever did see / I sure would be delighted with your company / Come on and do the Jailhouse Rock with me""[Chorus] / Let's rock, everybody, let's rock / Everybody in the whole cell block / Was dancing to the Jailhouse Rock / Rock, rock, rock / [Guitar Solo] / [Verse 4] / Sad Sack was sitting on a block of stone / Way over in the corner weeping all alone / The warden said, ""Hey, buddy, don't you be no square / You can't find a partner, use a wooden chair"" / [Chorus] / Let's rock, everybody, let's rock / Everybody in the whole cell block / Was dancing to the Jailhouse Rock / [Verse 5] / Shifty Henry /  said to  / Bugs / , ""For Heaven's sake / No one's looking,  / now's our chance to make a break / "" / Bugsy turned to Shifty, and he said,  / ""Nix nix / I wanna stick around a while and get my kicks."" / [Chorus] / Let's rock, everybody, let's rock / Everybody in the whole cell block / Was dancing to the Jailhouse Rock[Outro] / Dancing to the Jailhouse Rock / Dancing to the Jailhouse Rock / Dancing to the Jailhouse Rock / Dancing to the Jailhouse Rock / Dancing to the Jailhouse Rock","{'Producer': 'Mike Stoller', 'Writers': 'Mike Stoller, Jerry Leiber, Leiber-Stoller', 'Release Date': 'September 24, 1957', 'Tags': ['Rock', ""Rock 'N' Roll"", 'Piano Rock', 'USA', 'In English', 'Soundtrack', 'Rockabilly']}"
Johnny B. Goode,Chuck Berry,"[Verse 1] / Deep down in Louisiana close to New Orleans / Way back up in the woods among the evergreens / There stood a log cabin made of earth and wood / Where lived a country boy /   / named Johnny B. Goode / Who never ever learned to read or write so well / But he could play a guitar just like a ringin' a bell / [Chorus] / Go, go / Go, Johnny, go, go / Go, Johnny, go, go / Go, Johnny, go, go / Go, Johnny, go, go / Johnny B. Goode / [Verse 2] / He used to carry his guitar in a gunny sack / Go sit beneath the tree by the railroad track / Oh, the engineers would see him sitting in the shade / Strummin' with the rhythm that the drivers made / People passing by, they would stop and say / ""Oh, my, but that little country boy could play"" / [Chorus] / Go, go / Go, Johnny, go, go / Go, Johnny, go, go / Go, Johnny, go, go / Go, Johnny, go, go / Johnny B. Goode[Guitar Solo] / [Verse 3] / His mother told him, ""Someday you will be a man / And you will be the leader of a big ol' band / Many people coming from miles around / To hear you play your music when the sun go down / Maybe someday your name will be in lights / Sayin' 'Johnny B. Goode Tonight'"" / [Chorus] / Go, go / Go, Johnny, go / Go, go, go, Johnny, go / Go, go, go, Johnny, go / Go, go, go, Johnny, go / Go, Johnny B. Goode","{'Producer': 'Leonard Chess', 'Writers': '', 'Release Date': 'March 31, 1958', 'Tags': ['Rock', ""Rock 'N' Roll"", 'USA', 'In English', 'Singer-Songwriter', 'Rockabilly']}"
Put Your Head On My Shoulder,Paul Anka,"[Verse 1] / Put your head on my shoulder / Hold me in your arms, baby / Squeeze me, oh so tight / Show me that you love me, too / [Verse 2] / Put your lips next to mine, dear / Won't you kiss me once, baby / Just a kiss goodnight, maybe / You and I will fall in love / (You and I will fall in love) / [Bridge] / People say that love's a game / A game you just can't win / If there's a way, I'll find it someday / And then this fool will rush in / [Verse 3] / Put your head on my shoulder / Whisper in my ear, baby / Words I want to hear / Tell me, tell me that you love me, too / (Tell me that you love me, too)[Outro] / Put your head on my shoulder / Whisper in my ear, baby / Words I want to hear, baby / Put your head on my shoulder","{'Producer': 'Al De Lory', 'Writers': '', 'Release Date': 'August 17, 1959', 'Tags': ['Pop', 'Singer-Songwriter', 'Blues', 'Canada', 'Ballad', 'Easy Listening']}"
At Last,Etta James,"[Verse 1] / At last / My love has come along / My lonely days are over / And life is like a song / Oh, yeah, yeah / [Verse 2] / At last / The skies above are blue / My heart was wrapped up in clover / The night I looked at you / [Bridge] / I found a dream that I could speak to / A dream that I can call my own / I found a thrill to press my cheek to / A thrill that I've never known, oh, yeah, yeah / [Verse 3] / You smiled, you smiled / Oh, and then the spell was cast / And here we are in Heaven / For you are mine at last","{'Producer': 'Leonard Chess', 'Writers': 'Harry Warren, Mack Gordon', 'Release Date': 'November 15, 1960', 'Tags': ['R&B', 'Pop', 'USA', 'In English', 'Ballad', 'Cover', 'Soul Pop', 'Soul', 'Blues']}"
Stand By Me,Ben E King,"[Intro] / [Verse 1] / When the night has come / And the land is dark / And the moon is the only light we'll see / No, I won't be afraid / Oh, I won't be afraid / Just as long as you stand, stand by me / [Chorus] / So darlin', darlin', stand by me / Oh,  / stand by me / Oh, stand / Stand by me, stand by me / [Verse 2] / If the sky that we look upon / Should tumble and fall / Or the mountains should crumble to the sea / I won't cry, I won't cry / No, I won't shed a tear / Just as long as you stand, stand by me / [Chorus] / And darlin', darlin', stand by me / Oh, stand by me / Woah, stand now / Stand by me, stand by me[Interlude] / [Chorus] / Darlin', darlin', stand by me / Oh, stand by me / Oh, stand now / Stand by me, stand by me / Whenever you're in trouble, won't you stand by me? / Oh, stand by me / Woah, just stand now / Oh, stand, stand by me","{'Producer': 'Jerry Leiber', 'Writers': 'Ben E. King, Jerry Leiber, Mike Stoller, Leiber-Stoller', 'Release Date': 'October 27, 1960', 'Tags': ['Pop', 'R&B', 'USA', 'In English', 'Ballad', 'Soundtrack', 'Soul', 'Soul Pop', 'Singer-Songwriter']}"
