year,value
1945,82.0
1946,44.0
1947,57.0
1948,39.5
1949,51.0
1950,39.0
1951,27.5
1952,30.0
1953,69.0
1954,66.0
1955,71.0
1956,73.0
1957,64.0
1958,54.0
1959,63.0
1960,62.0
1961,76.5
1962,74.0
1963,64.0
1964,74.5
1965,65.0
1966,49.5
1967,45.0
1968,41.5
1969,61.0
1970,57.0
1971,50.0
1972,56.0
1973,41.5
1974,27.0
1975,44.0
1976,47.0
1977,63.0
1978,45.0
1979,33.0
1980,38.0
1981,58.0
1982,43.0
1983,43.0
1984,54.0
1985,62.0
1986,63.0
1987,48.0
1988,51.0
1989,66.0
1990,67.0
1991,72.0
1992,40.0
1993,48.0
1994,46.0
1995,47.0
1996,54.5
1997,58.0
1998,64.0
1999,60.0
2000,59.5
2001,58.0
2002,73.0
2003,60.0
2004,51.0
2005,46.0
2006,37.0
2007,33.0
2008,30.5
2009,58.0
2010,46.0
2011,43.5
2012,47.0
2013,46.0
2014,42.0
2015,46.0
2016,51.0
2017,38.0
2018,40.0
2019,42.0
2020,44.0
2021,52.0
2022,41.0
2023,40.0
2024,39.0
