year,value
1947,247.7765
1948,275.8815
1949,272.12
1950,299.26800000000003
1951,347.73749999999995
1952,364.3655
1953,389.57550000000003
1954,388.5585
1955,425.87649999999996
1956,448.6005
1957,473.44449999999995
1958,478.9095
1959,523.8435
1960,541.864
1961,561.6044999999999
1962,604.6965
1963,637.098
1964,685.3525
1965,739.7570000000001
1966,812.3095000000001
1967,857.108
1968,942.5845
1969,1019.4879999999999
1970,1076.717
1971,1166.973
1972,1278.4675
1973,1423.8625
1974,1545.0410000000002
1975,1680.8365
1976,1869.4450000000002
1977,2087.191
1978,2363.343
1979,2629.406
1980,2826.9175
1981,3211.5705
1982,3349.147
1983,3634.0135
1984,4046.9255000000003
1985,4340.83
1986,4576.5045
1987,4845.3575
1988,5236.4355
1989,5653.914
1990,5982.3805
1991,6166.3994999999995
1992,6518.701999999999
1993,6845.5185
1994,7289.003
1995,7632.061
1996,8082.124
1997,8590.824
1998,9045.398000000001
1999,9606.418
2000,10282.942500000001
2001,10598.51
2002,10935.75
2003,11439.717499999999
2004,12209.061000000002
2005,13032.649000000001
2006,13811.806
2007,14483.0995
2008,14786.1195
2009,14439.892
2010,15060.9
2011,15602.6095
2012,16263.328
2013,16841.2625
2014,17661.368000000002
2015,18340.705
2016,18802.1705
2017,19565.619
2018,20689.821
2019,21557.5545
2020,21706.104
2021,23645.426
2022,26038.900999999998
2023,27710.756
2024,29016.714
