year,value
1972,30.26151930261519
1973,35.86666666666667
1974,37.9054054054054
1975,32.861952861952865
1976,34.08939292861908
1977,34.83955468238376
1978,34.344100197758735
1980,33.926128590971274
1982,30.566037735849054
1983,31.150667514303876
1984,34.740484429065745
1985,28.627450980392155
1986,32.298136645962735
1987,29.10112359550562
1988,33.969986357435204
1989,32.634338138925294
1990,33.4313005143277
1991,31.050531914893615
1993,31.605246720799503
1994,28.787369835404768
1996,30.398613518197575
1998,31.753385602280826
2000,31.724882967230823
2002,30.314097881665447
2004,31.338818249813016
2006,30.810448760884125
2008,29.727047146401986
2010,26.385483079941146
2012,30.193482688391036
2014,31.067193675889328
2016,28.191675410982864
2018,29.906143344709896
2021,19.506726457399104
2022,22.13068181818182
