X.1,% Approve
Nov 6 2024,19
Oct 1 2024,16
Sep 1 2024,20
Aug 1 2024,19
Jul 1 2024,16
Jun 1 2024,16
May 1 2024,13
Apr 1 2024,16
Mar 1 2024,15
Feb 1 2024,12
Jan 1 2024,15
Dec 1 2023,15
Nov 1 2023,15
Oct 2 2023,13
Sep 1 2023,17
Aug 1 2023,19
Jul 3 2023,19
Jun 1 2023,20
May 1 2023,20
Apr 1 2023,16
Mar 1 2023,20
Feb 1 2023,18
Jan 1 2023,21
Nov 1 2022,22
Oct 1 2022,21
Sep 1 2022,23
Aug 1 2022,22
Jul 1 2022,17
Jun 1 2022,16
May 1 2022,18
Apr 1 2022,20
Mar 1 2022,21
Feb 1 2022,20
Jan 1 2022,18
Dec 1 2021,23
Nov 1 2021,20
Oct 1 2021,21
Sep 1 2021,27
Aug 2 2021,28
Jul 1 2021,26
Jun 1 2021,26
May 3 2021,31
Apr 1 2021,33
Mar 1 2021,36
Feb 3 2021,35
Jan 4 2021,25
Dec 1 2020,15
Nov 5 2020,23
Oct 1 2020,19
Sep 1 2020,17
Aug 1 2020,21
Jul 1 2020,18
May 28 2020,25
May 1 2020,31
Apr 1 2020,30
Mar 2 2020,22
Feb 3 2020,23
Jan 2 2020,23
Dec 2 2019,27
Nov 1 2019,24
Oct 1 2019,25
Sep 3 2019,18
Aug 1 2019,17
Jul 1 2019,17
Jun 3 2019,19
May 1 2019,20
Apr 1 2019,20
Mar 1 2019,26
Feb 1 2019,21
Jan 2 2019,20
Dec 3 2018,18
Nov 1 2018,21
Oct 15 2018,21
Oct 1 2018,21
Sep 4 2018,19
Aug 1 2018,17
Jul 1 2018,17
Jun 1 2018,19
May 1 2018,17
Apr 2 2018,18
Mar 1 2018,15
Feb 1 2018,15
Jan 2 2018,20
Dec 4 2017,17
Nov 2 2017,13
Oct 5 2017,13
Sep 6 2017,16
Aug 2 2017,16
Jul 5 2017,20
Jun 7 2017,21
May 3 2017,20
Apr 1 2017,20
Mar 1 2017,24
Feb 1 2017,28
Jan 4 2017,19
Dec 7 2016,18
Nov 9 2016,19
Oct 5 2016,18
Sep 7 2016,20
Aug 3 2016,18
Jul 13 2016,13
Jun 1 2016,16
May 4 2016,18
Apr 6 2016,17
Mar 2 2016,13
Feb 3 2016,14
Jan 6 2016,16
Dec 2 2015,13
Nov 4 2015,11
Oct 7 2015,13
Sep 9 2015,14
Aug 5 2015,14
Jul 8 2015,17
Jun 2 2015,17
May 6 2015,19
Apr 9 2015,15
Mar 5 2015,18
Feb 8 2015,20
Jan 5 2015,16
Dec 8 2014,16
Nov 6 2014,15
Oct 29 2014,20
Oct 12 2014,14
Sep 4 2014,14
Aug 7 2014,13
Jul 7 2014,15
Jun 5 2014,16
May 8 2014,15
Apr 3 2014,13
Mar 6 2014,15
Feb 6 2014,12
Jan 5 2014,13
Dec 5 2013,12
Nov 7 2013,9
Oct 3 2013,11
Sep 5 2013,19
Aug 7 2013,14
Jul 10 2013,15
Jun 1 2013,17
May 2 2013,16
Apr 4 2013,15
Mar 7 2013,13
Feb 7 2013,15
Jan 7 2013,14
Dec 14 2012,18
Nov 15 2012,18
Oct 15 2012,21
Sep 6 2012,13
Aug 9 2012,10
Jul 9 2012,16
Jun 7 2012,17
May 3 2012,15
Apr 9 2012,17
Mar 8 2012,12
Feb 2 2012,10
Jan 5 2012,13
Dec 15 2011,11
Nov 3 2011,13
Oct 6 2011,13
Sep 8 2011,15
Aug 11 2011,13
Jul 7 2011,18
Jun 9 2011,17
May 5 2011,24
Apr 7 2011,17
Mar 3 2011,18
Feb 2 2011,23
Jan 7 2011,20
Dec 10 2010,13
Nov 4 2010,17
Oct 28 2010,21
Oct 7 2010,21
Sep 13 2010,18
Aug 5 2010,19
Jul 8 2010,20
Jun 11 2010,20
May 3 2010,21
Apr 8 2010,23
