YEAR,AVERAGE_APPROVAL
1945,81.33333333333333
1946,44.125
1947,57.55555555555556
1948,42.0
1949,54.285714285714285
1950,39.53846153846154
1951,27.833333333333332
1952,28.75
1953,68.23076923076923
1954,65.76470588235294
1955,71.2
1956,72.84615384615384
1957,64.2
1958,54.6875
1959,63.714285714285715
1960,61.11764705882353
1961,76.14285714285714
1962,71.84615384615384
1963,65.2
1964,74.42857142857143
1965,65.94736842105263
1966,51.1764705882353
1967,44.0
1968,42.07142857142857
1969,60.578947368421055
1970,57.11764705882353
1971,50.0
1972,56.2
1973,41.8
1974,34.88
1975,42.94736842105263
1976,47.55555555555556
1977,62.458333333333336
1978,45.6
1979,36.76
1980,40.64705882352941
1981,57.526315789473685
1982,43.78947368421053
1983,43.81818181818182
1984,55.285714285714285
1985,60.333333333333336
1986,60.61538461538461
1987,48.09090909090909
1988,52.0
1989,63.92307692307692
1990,66.3103448275862
1991,71.69047619047619
1992,39.964285714285715
1993,48.892857142857146
1994,46.41379310344828
1995,47.5
1996,54.541666666666664
1997,58.26315789473684
1998,63.774193548387096
1999,61.205882352941174
2000,59.892857142857146
2001,66.36363636363636
2002,72.17777777777778
2003,60.48780487804878
2004,50.77142857142857
2005,46.04761904761905
2006,38.03333333333333
2007,33.629629629629626
2008,29.966666666666665
2009,57.05882352941177
2010,46.886792452830186
2011,44.735849056603776
2012,47.77777777777778
2013,46.51923076923077
2014,42.43396226415094
2015,46.301886792452834
2016,51.528301886792455
2017,39.867924528301884
2018,40.333333333333336
2019,41.61904761904762
2020,44.31578947368421
2021,49.0
2022,40.90909090909091
2023,39.833333333333336
2024,39.63636363636363
